episode,return,rolling_mean_reward
651,6.0,7.8279
652,9.0,7.9185
653,0.0,7.7485
654,18.0,7.929500000000001
655,13.99,7.899400000000001
656,9.0,7.8094
657,3.0,7.7594
658,7.0,7.8297
659,21.0,8.0403
660,14.97,8.07
661,-0.060000000000000005,7.9594000000000005
662,-0.03,7.7890999999999995
663,11.0,7.899400000000001
664,8.0,7.8097
665,10.99,7.9204
666,14.0,7.990399999999999
667,7.0,7.950399999999999
668,-0.060000000000000005,7.8098
669,5.0,7.7698
670,15.0,7.8398
671,1.0,7.8508000000000004
672,20.99,7.850700000000001
673,6.0,7.810700000000001
674,17.0,7.880700000000001
675,17.93,8.01
676,-0.09,7.9691
677,5.0,8.019400000000001
678,26.0,8.1296
679,-0.09999999999999999,8.1294
680,8.99,8.0993
681,-0.08,8.0585
682,11.0,8.0086
683,11.0,8.0086
684,13.98,8.1492
685,13.0,8.2797
686,17.96,8.4601
687,15.0,8.6109
688,-0.08,8.5101
689,1.99,8.44
690,6.98,8.510399999999999
691,-0.08,8.4296
692,21.0,8.6402
693,-0.07,8.5295
694,3.98,8.419500000000001
695,17.99,8.6004
696,-0.05,8.6007
697,15.97,8.670399999999999
698,10.97,8.6201
699,19.0,8.810599999999999
700,-0.09999999999999999,8.8097
701,9.99,8.7796
702,12.0,8.9002
703,-0.08,8.679400000000001
704,16.0,8.7094
705,-0.08,8.5186
706,12.0,8.5286
707,-0.04,8.5288
708,15.0,8.579
709,19.0,8.5191
710,24.98,8.6889
711,12.0,8.6389
712,-0.09999999999999999,8.5479
713,14.0,8.617899999999999
714,13.99,8.6678
715,5.0,8.718200000000001
716,13.0,8.7882
717,9.99,8.8887
718,10.0,8.9895
719,5.0,8.9295
720,26.0,9.1495
721,5.97,9.0893
722,3.0,8.9793
723,13.95,8.9888
724,-0.060000000000000005,8.898200000000001
725,14.99,9.0484
726,18.0,9.1687
727,16.0,9.2687
728,-0.060000000000000005,9.1181
729,9.0,9.058100000000001
730,-0.09,8.9772
731,-0.05,8.916699999999999
732,5.0,8.8767
733,23.0,9.1075
734,5.95,9.1676
735,-0.08,9.167200000000001
736,19.0,9.3576
737,10.0,9.308
738,13.0,9.4381
739,-0.060000000000000005,9.437899999999999
740,9.0,9.3983
741,6.0,9.459
742,7.0,9.5297
743,-0.060000000000000005,9.3593
744,20.0,9.469299999999999
745,16.0,9.469299999999999
746,17.98,9.5091
747,19.0,9.6391
748,14.0,9.7491
749,11.0,9.6291
750,18.0,9.6691
751,9.0,9.6991
752,8.0,9.6891
753,4.0,9.729099999999999
754,-0.060000000000000005,9.5485
755,21.0,9.6186
756,12.94,9.658
757,-0.060000000000000005,9.6274
758,14.97,9.7071
759,-0.04,9.496699999999999
760,13.0,9.477
761,3.0,9.5076
762,-0.060000000000000005,9.5073
763,16.0,9.5573
764,-0.09,9.4764
765,11.96,9.4861
766,6.0,9.4061
767,18.0,9.5161
768,10.0,9.6167
769,18.94,9.7561
770,22.0,9.8261
771,-0.08,9.8153
772,13.0,9.7354
773,-0.07,9.6747
774,8.0,9.5847
775,-0.060000000000000005,9.4048
776,11.0,9.5157
777,21.99,9.6856
778,19.0,9.6156
779,-0.05,9.6161
780,7.0,9.5962
781,15.0,9.747
782,12.97,9.7667
783,8.0,9.736699999999999
784,15.0,9.7469
785,13.0,9.7469
786,-0.060000000000000005,9.566699999999999
787,13.0,9.5467
788,10.0,9.6475
789,4.0,9.6676
790,11.0,9.707799999999999
791,16.0,9.8686
792,10.97,9.7683
793,9.0,9.859
794,6.0,9.879199999999999
795,-0.02,9.6991
796,-0.08,9.6988
797,10.0,9.6391
798,6.96,9.599
799,11.0,9.519
800,5.0,9.57
801,-0.09999999999999999,9.4691
802,-0.060000000000000005,9.3485
803,-0.04,9.3489
804,-0.08,9.1881
805,8.99,9.2788
806,-0.08,9.158
807,11.0,9.2684
808,17.96,9.298
809,16.0,9.267999999999999
810,-0.060000000000000005,9.0176
811,-0.09999999999999999,8.8966
812,-0.08,8.896799999999999
813,16.0,8.9168
814,-0.05,8.7764
815,17.0,8.8964
816,17.0,8.936399999999999
817,11.0,8.9465
818,11.0,8.9565
819,17.0,9.0765
820,12.97,8.9462
821,16.97,9.0562
822,-0.060000000000000005,9.0256
823,25.97,9.145800000000001
824,-0.03,9.1461
825,22.98,9.226
826,-0.08,9.0452
827,-0.09999999999999999,8.8842
828,4.99,8.9347
829,13.0,8.9747
